Forest Name,Forest State,Forest URL,Forest ID
National Forests in Alabama,Alabama,https://www.fs.fed.us/sopa/forest-level.php?110801,110801
Chugach National Forest,Alaska,https://www.fs.fed.us/sopa/forest-level.php?111004,111004
Tongass National Forest,Alaska,https://www.fs.fed.us/sopa/forest-level.php?111005,111005
Apache-Sitgreaves National Forests,Arizona,https://www.fs.fed.us/sopa/forest-level.php?110301,110301
Coconino National Forest,Arizona,https://www.fs.fed.us/sopa/forest-level.php?110304,110304
Coronado National Forest,Arizona,https://www.fs.fed.us/sopa/forest-level.php?110305,110305
Kaibab National Forest,Arizona,https://www.fs.fed.us/sopa/forest-level.php?110307,110307
Prescott National Forest,Arizona,https://www.fs.fed.us/sopa/forest-level.php?110309,110309
Tonto National Forest,Arizona,https://www.fs.fed.us/sopa/forest-level.php?110312,110312
Ouachita National Forest,Arkansas,https://www.fs.fed.us/sopa/forest-level.php?110809,110809
Ozark-St. Francis National Forests,Arkansas,https://www.fs.fed.us/sopa/forest-level.php?110810,110810
Alum Creek EF,California,https://www.fs.fed.us/sopa/forest-level.php?113301,113301
Angeles National Forest,California,https://www.fs.fed.us/sopa/forest-level.php?110501,110501
Bent Creek EF,California,https://www.fs.fed.us/sopa/forest-level.php?113302,113302
Blacks Mountain EF,California,https://www.fs.fed.us/sopa/forest-level.php?112701,112701
Blue Valley EF,California,https://www.fs.fed.us/sopa/forest-level.php?113303,113303
Calhoun EF,California,https://www.fs.fed.us/sopa/forest-level.php?113304,113304
Caspar Creek EW,California,https://www.fs.fed.us/sopa/forest-level.php?112702,112702
Challenge EF,California,https://www.fs.fed.us/sopa/forest-level.php?112703,112703
Chipola EF,California,https://www.fs.fed.us/sopa/forest-level.php?113305,113305
Cleveland National Forest,California,https://www.fs.fed.us/sopa/forest-level.php?110502,110502
Coweeta Hydrologic Lab,California,https://www.fs.fed.us/sopa/forest-level.php?113306,113306
Crossett EF,California,https://www.fs.fed.us/sopa/forest-level.php?113307,113307
Delta EF,California,https://www.fs.fed.us/sopa/forest-level.php?113308,113308
Eldorado National Forest,California,https://www.fs.fed.us/sopa/forest-level.php?110503,110503
Escambia EF,California,https://www.fs.fed.us/sopa/forest-level.php?113309,113309
Harrison EF,California,https://www.fs.fed.us/sopa/forest-level.php?113310,113310
